latitude,longitude,altitude,geometry,name,tourism,city
33.9907777,-6.8373826,,Point,Hilton,hotel,Rabat
33.9954437,-6.8509562,,Point,Soundouss Hotel,hotel,Rabat
34.0296671,-6.8372301,,Point,Hotel Des Oudaias,hotel,Rabat
34.0142801,-6.8317277,,Point,Helnan Chellah,hotel,Rabat
34.0196347,-6.8298442,,Point,La Tour Hassan Hotel,hotel,Rabat
34.0205362,-6.8298919,,Point,Hotel Rabat,hotel,Rabat
33.9648683,-6.8477025,,Point,Villa Mandarine,hotel,Rabat
34.0175523,-6.8279625,,Point,Le Diwan,hotel,Rabat
34.0164358,-6.8366651,,Point,Majliss,hotel,Rabat
34.0212872,-6.8394443,,Point,Hotel Majestic,hotel,Rabat
34.0204173,-6.828931,,Point,Yasmine Hotel,hotel,Rabat
34.0192103,-6.8228848,,Point,Hotel Mercure Sherazade,hotel,Rabat
34.0162377,-6.8322101,,Point,Le Pietri,hotel,Rabat
33.9189987,-6.9690745,,Point,"The ""Sisters"" hotel (formerly ""La Felouque"")",hotel,Rabat
34.0257722,-6.8260428,,Point,Hotel Golden Tulip,hotel,Rabat
33.9968005,-6.8458387,,Point,Mihad Hotel,hotel,Rabat
33.9965337,-6.8474374,,Point,Hotel Atlantic,hotel,Rabat
33.938392,-6.9404557,,Point,Yasmina Club Hotel,hotel,Rabat
34.0207436,-6.8271643,,Point,Hôtel Rihab,hotel,Rabat
34.0225205,-6.8315281,,Point,Hôtel Malak,hotel,Rabat
33.8885281,-7.0132966,,Point,la Kabash,hotel,Rabat
33.9309477,-6.9549401,,Point,Saint Germain,hotel,Rabat
34.0213761,-6.8364806,,Point,Capitol,hotel,Rabat
34.0209254,-6.8369941,,Point,Splendide,hotel,Rabat
34.0207139,-6.8355565,,Point,Royal Hotel,hotel,Rabat
34.008147,-6.8446378,,Point,Oumlil,hotel,Rabat
34.0219532,-6.8309195,,Point,Malak,hotel,Rabat
34.0226818,-6.8395168,,Point,Hotel De France,hotel,Rabat
34.0227911,-6.8393318,,Point,Hotel d'Alger,hotel,Rabat
34.0233104,-6.8391398,,Point,Hotel Du Marché,hotel,Rabat
34.0228632,-6.8390685,,Point,Hotel Assaada,hotel,Rabat
34.0229712,-6.8386968,,Point,Hotel Des Voyageurs,hotel,Rabat
34.020697,-6.8424711,,Point,Hotel Afrique,hotel,Rabat
34.0213879,-6.8374809,,Point,Berlin,hotel,Rabat
34.0228794,-6.8461415,,Point,Hôtel Texuda,hotel,Rabat
34.0241454,-6.832152,,Point,bouregreg,hotel,Rabat
34.0210045,-6.8378024,,Point,Hôtel Gaulois,hotel,Rabat
34.0206749,-6.8425641,,Point,Ifriquia,hotel,Rabat
34.0174483,-6.8254135,,Point,Annakhil,hotel,Rabat
34.0126979,-6.8315132,,Point,Mess Off Rabat,hotel,Rabat
33.9951481,-6.8496665,,Point,rent-inn,hotel,Rabat
34.0231296,-6.8381372,,Point,Hotel Dorhmi,hotel,Rabat
34.0227411,-6.8381122,,Point,Hotel Dorhmi,hotel,Rabat
34.0029059,-6.850626,,Point,Smarts Hotel,hotel,Rabat
34.0202309,-6.8413174,,Point,Alsace,hotel,Rabat
34.0228005,-6.8373844,,Point,فندق الشعب,hotel,Rabat
34.023315,-6.8376611,,Point,Kayezer,hotel,Rabat
33.9203645,-6.8409148,,Point,The Ritz-Carlton Rabat Dar Es Salam,hotel,Rabat
33.9962447,-6.8474921,,Point,Gardenia,hotel,Rabat
34.0242119,-6.8366599,,Point,Dar El Idrissi,hotel,Rabat
34.0274413,-6.8390849,,Point,Euphoriad,hotel,Rabat
34.0040727,-6.8447007,,Point,Rabat Marriott Hotel,hotel,Rabat
33.9013456,-7.0005542,,Point,Conrad Rabat Arzana,hotel,Rabat
34.0251617,-6.8388653,,Point,Hôtel Eljadid,hotel,Rabat
